Transformation,Core SMILES,Monomer SMILES,Product SMILES,Alkyl Group SMILES [Core],Alkyl Group SMILES [X],Salt,Salt Ratio,Yield (%),Yield,Purified,C(sp3)-X Substitution,Main C(sp3) substituent Type,Remote FG,,,
Negishi-Pd,CN1CCN(CC(C=C2)=CC=C2Br)CC1,C[Zn]Cl,CN1CCN(Cc2ccc(C)cc2)CC1,C[Core],[X]C,TFA,1,47,0.4743,15.1,0 - Methyl,alkyl,--,,,
BF3K-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,C[B-](F)(F)F.[K+],C[C@@H]1CN(CCN1c2ncc(C)cn2)C(=O)COC(C)(C)C,C[Core],[X]C,,,0,0,0,0 - Methyl,alkyl,--,,,
CEC-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,COS(=O)(=O)c1ccc(C)cc1,C[C@@H]1CN(CCN1c2ncc(C)cn2)C(=O)COC(C)(C)C,C[Core],[X]C,,,42,0.4192,16.7,0 - Methyl,alkyl,--,,,
COOH-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(=O)O,C[C@@H]1CN(CCN1c2ncc(C)cn2)C(=O)COC(C)(C)C,C[Core],[X]C,,,0,0,0,0 - Methyl,alkyl,--,,,
BF3K-Pd-Suzuki,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,C[B-](F)(F)F.[K+],C[C@@H]1CN(CCN1c2ncc(C)cn2)C(=O)COC(C)(C)C,C[Core],[X]C,,,38,0.3818,11.7,0 - Methyl,alkyl,--,,,
MIDA-Pd-Suzuki,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CB1OC(=O)CN(C)CC(=O)O1,C[C@@H]1CN(CCN1c2ncc(C)cn2)C(=O)COC(C)(C)C,C[Core],[X]C,,,64,0.6429,19.7,0 - Methyl,alkyl,--,,,
Negishi-Pd,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,C[Zn]Cl,C[C@@H]1CN(CCN1c2ncc(C)cn2)C(=O)COC(C)(C)C,C[Core],[X]C,TFA,1,43,0.4305,18.1,0 - Methyl,alkyl,--,,,
BF3K-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,C[B-](F)(F)F.[K+],Cc1ccc2nc3COCC(=O)c3n2c1,C[Core],[X]C,,,0,0,0,0 - Methyl,alkyl,--,,,
CEC-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,COS(=O)(=O)c1ccc(C)cc1,Cc1ccc2nc3COCC(=O)c3n2c1,C[Core],[X]C,,,24,0.2359,6.2,0 - Methyl,alkyl,--,,,
COOH-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(=O)O,Cc1ccc2nc3COCC(=O)c3n2c1,C[Core],[X]C,,,0,0,0,0 - Methyl,alkyl,--,,,
BF3K-Pd-Suzuki,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,C[B-](F)(F)F.[K+],Cc1ccc2nc3COCC(=O)c3n2c1,C[Core],[X]C,,,26,0.2621,5.3,0 - Methyl,alkyl,--,,,
MIDA-Pd-Suzuki,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CB1OC(=O)CN(C)CC(=O)O1,Cc1ccc2nc3COCC(=O)c3n2c1,C[Core],[X]C,,,20,0.1978,4,0 - Methyl,alkyl,--,,,
Negishi-Pd,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,C[Zn]Cl,Cc1ccc2nc3COCC(=O)c3n2c1,C[Core],[X]C,TFA,1,78,0.7779,24.6,0 - Methyl,alkyl,--,,,
COOH-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,,[Core]C(C(C)C)NC(OC(C)(C)C)=O,[X]C(C(C)C)NC(OC(C)(C)C)=O,,,10,0.1024,4.2,2 - Secondary,amino - carbamate/amide,--,,,
COOH-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,,[Core]C(C(C)C)NC(OC(C)(C)C)=O,[X]C(C(C)C)NC(OC(C)(C)C)=O,TFA,1,7,0.0723,4.3,2 - Secondary,amino - carbamate/amide,--,,,
COOH-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,,[Core]C(C(C)C)NC(OC(C)(C)C)=O,[X]C(C(C)C)NC(OC(C)(C)C)=O,,,3,0.0259,1.5,2 - Secondary,amino - carbamate/amide,--,,,
COOH-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,,[Core]C(C(C)C)NC(OC(C)(C)C)=O,[X]C(C(C)C)NC(OC(C)(C)C)=O,,,0,0,0,2 - Secondary,amino - carbamate/amide,--,,,
BF3K-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)[B-](F)(F)F.[K+],CC(C)c1cccc(c1)n2cccn2,CC([Core])C,[X]C(C)C,,,38,0.3823,8.9,2 - Secondary,alkyl,--,,,
CEC-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)Br,CC(C)c1cccc(c1)n2cccn2,CC([Core])C,[X]C(C)C,,,6,0.0619,1.5,2 - Secondary,alkyl,--,,,
COOH-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)C(=O)O,CC(C)c1cccc(c1)n2cccn2,CC([Core])C,[X]C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
BF3K-Pd-Suzuki,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)[B-](F)(F)F.[K+],CC(C)c1cccc(c1)n2cccn2,CC([Core])C,[X]C(C)C,,,0,0,,2 - Secondary,alkyl,--,,,
MIDA-Pd-Suzuki,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)B1OC(=O)CN(C)CC(=O)O1,CC(C)c1cccc(c1)n2cccn2,CC([Core])C,[X]C(C)C,,,0,0,,2 - Secondary,alkyl,--,,,
CEC-Ni-Weix,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)Br,CC(C)c1cccc(c1)n2cccn2,CC([Core])C,[X]C(C)C,,,3,0.0349,0.65,2 - Secondary,alkyl,--,,,
Negishi-Pd,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)[Zn]Br,CC(C)c1cccc(c1)n2cccn2,CC([Core])C,[X]C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
CEC-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)Br,CC(C)c1ccc(CN2CCN(C)CC2)cc1,CC([Core])C,[X]C(C)C,TFA,1,20,0.1986,8.6,2 - Secondary,alkyl,--,,,
BF3K-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)[B-](F)(F)F.[K+],CC(C)c1ccc(CN2CCN(C)CC2)cc1,CC([Core])C,[X]C(C)C,TFA,1,55,0.5474,23.7,2 - Secondary,alkyl,--,,,
COOH-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)C(=O)O,CC(C)c1ccc(CN2CCN(C)CC2)cc1,CC([Core])C,[X]C(C)C,TFA,1,5,0.0485,2.1,2 - Secondary,alkyl,--,,,
BF3K-Pd-Suzuki,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)[B-](F)(F)F.[K+],CC(C)c1ccc(CN2CCN(C)CC2)cc1,CC([Core])C,[X]C(C)C,,,4,0.0387,0.9,2 - Secondary,alkyl,--,,,
MIDA-Pd-Suzuki,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)B1OC(=O)CN(C)CC(=O)O1,CC(C)c1ccc(CN2CCN(C)CC2)cc1,CC([Core])C,[X]C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
CEC-Ni-Weix,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)Br,CC(C)c1ccc(CN2CCN(C)CC2)cc1,CC([Core])C,[X]C(C)C,TFA,2,6,0.0608,2.8,2 - Secondary,alkyl,--,,,
Negishi-Pd,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)[Zn]Br,CC(C)c1ccc(CN2CCN(C)CC2)cc1,CC([Core])C,[X]C(C)C,TFA,1,61,0.6149,21.3,2 - Secondary,alkyl,--,,,
BF3K-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)[B-](F)(F)F.[K+],CC(C)c1cnc(nc1)N2CCN(C[C@H]2C)C(=O)COC(C)(C)C,CC([Core])C,[X]C(C)C,,,47,0.4657,18.8,2 - Secondary,alkyl,--,,,
CEC-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)Br,CC(C)c1cnc(nc1)N2CCN(C[C@H]2C)C(=O)COC(C)(C)C,CC([Core])C,[X]C(C)C,,,22,0.2208,9.6,2 - Secondary,alkyl,--,,,
COOH-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)C(=O)O,CC(C)c1cnc(nc1)N2CCN(C[C@H]2C)C(=O)COC(C)(C)C,CC([Core])C,[X]C(C)C,,,3,0.0287,1.2,2 - Secondary,alkyl,--,,,
BF3K-Pd-Suzuki,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)[B-](F)(F)F.[K+],CC(C)c1cnc(nc1)N2CCN(C[C@H]2C)C(=O)COC(C)(C)C,CC([Core])C,[X]C(C)C,,,24,0.2362,7.9,2 - Secondary,alkyl,--,,,
MIDA-Pd-Suzuki,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)B1OC(=O)CN(C)CC(=O)O1,CC(C)c1cnc(nc1)N2CCN(C[C@H]2C)C(=O)COC(C)(C)C,CC([Core])C,[X]C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
CEC-Ni-Weix,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)Br,CC(C)c1cnc(nc1)N2CCN(C[C@H]2C)C(=O)COC(C)(C)C,CC([Core])C,[X]C(C)C,,,19,0.1884,6.3,2 - Secondary,alkyl,--,,,
Negishi-Pd,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)[Zn]Br,CC(C)c1cnc(nc1)N2CCN(C[C@H]2C)C(=O)COC(C)(C)C,CC([Core])C,[X]C(C)C,TFA,1,54,0.5396,24.2,2 - Secondary,alkyl,--,,,
BF3K-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)[B-](F)(F)F.[K+],CC(C)c1ccc2nc3COCC(=O)c3n2c1,CC([Core])C,[X]C(C)C,,,25,0.2491,7.2,2 - Secondary,alkyl,--,,,
CEC-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)Br,CC(C)c1ccc2nc3COCC(=O)c3n2c1,CC([Core])C,[X]C(C)C,,,18,0.1804,5.4,2 - Secondary,alkyl,--,,,
COOH-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)C(=O)O,CC(C)c1ccc2nc3COCC(=O)c3n2c1,CC([Core])C,[X]C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
BF3K-Pd-Suzuki,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)[B-](F)(F)F.[K+],CC(C)c1ccc2nc3COCC(=O)c3n2c1,CC([Core])C,[X]C(C)C,,,4,0.0391,0.9,2 - Secondary,alkyl,--,,,
MIDA-Pd-Suzuki,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)B1OC(=O)CN(C)CC(=O)O1,CC(C)c1ccc2nc3COCC(=O)c3n2c1,CC([Core])C,[X]C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
CEC-Ni-Weix,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)Br,CC(C)c1ccc2nc3COCC(=O)c3n2c1,CC([Core])C,[X]C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
Negishi-Pd,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)[Zn]Br,CC(C)c1ccc2nc3COCC(=O)c3n2c1,CC([Core])C,[X]C(C)C,TFA,1,24,0.2353,8.1,2 - Secondary,alkyl,--,,,
BF3K-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,CC([B-](F)(F)F)C(C)C.[K+],CC(C)C(C)c1cccc(c1)n2cccn2,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,19,0.1934,4.9,2 - Secondary,alkyl,--,,,
CEC-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)C(C)Br,CC(C)C(C)c1cccc(c1)n2cccn2,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,11,0.1113,3.1,2 - Secondary,alkyl,--,,,
COOH-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)C(C)C(=O)O,CC(C)C(C)c1cccc(c1)n2cccn2,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
BF3K-Pd-Suzuki,BrC1=CC(N2N=CC=C2)=CC=C1,CC([B-](F)(F)F)C(C)C.[K+],CC(C)C(C)c1cccc(c1)n2cccn2,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,0,0,,2 - Secondary,alkyl,--,,,
MIDA-Pd-Suzuki,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)C(C)B1OC(=O)CN(C)CC(=O)O1,CC(C)C(C)c1cccc(c1)n2cccn2,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,0,0,,2 - Secondary,alkyl,--,,,
CEC-Ni-Weix,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)C(C)Br,CC(C)C(C)c1cccc(c1)n2cccn2,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
CEC-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)C(C)Br,CC(C)C(C)c1ccc(CN2CCN(C)CC2)cc1,[Core]C(C)C(C)C,[X]C(C)C(C)C,TFA,1,16,0.1624,7.6,2 - Secondary,alkyl,--,,,
BF3K-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC([B-](F)(F)F)C(C)C.[K+],CC(C)C(C)c1ccc(CN2CCN(C)CC2)cc1,[Core]C(C)C(C)C,[X]C(C)C(C)C,TFA,1,20,0.2008,9.4,2 - Secondary,alkyl,--,,,
COOH-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)C(C)C(=O)O,CC(C)C(C)c1ccc(CN2CCN(C)CC2)cc1,[Core]C(C)C(C)C,[X]C(C)C(C)C,TFA,1,6,0.0555,2.6,2 - Secondary,alkyl,--,,,
BF3K-Pd-Suzuki,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC([B-](F)(F)F)C(C)C.[K+],CC(C)C(C)c1ccc(CN2CCN(C)CC2)cc1,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
MIDA-Pd-Suzuki,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)C(C)B1OC(=O)CN(C)CC(=O)O1,CC(C)C(C)c1ccc(CN2CCN(C)CC2)cc1,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
CEC-Ni-Weix,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)C(C)Br,CC(C)C(C)c1ccc(CN2CCN(C)CC2)cc1,[Core]C(C)C(C)C,[X]C(C)C(C)C,TFA,2,1,0.0082,0.4,2 - Secondary,alkyl,--,,,
BF3K-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC([B-](F)(F)F)C(C)C.[K+],CC(C)C(C)c1cnc(nc1)N2CCN(C[C@H]2C)C(=O)COC(C)(C)C,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,21,0.208,9.1,2 - Secondary,alkyl,--,,,
CEC-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)C(C)Br,CC(C)C(C)c1cnc(nc1)N2CCN(C[C@H]2C)C(=O)COC(C)(C)C,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,14,0.1422,6.7,2 - Secondary,alkyl,--,,,
COOH-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)C(C)C(=O)O,CC(C)C(C)c1cnc(nc1)N2CCN(C[C@H]2C)C(=O)COC(C)(C)C,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,2,0.0243,1.1,2 - Secondary,alkyl,--,,,
BF3K-Pd-Suzuki,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC([B-](F)(F)F)C(C)C.[K+],CC(C)C(C)c1cnc(nc1)N2CCN(C[C@H]2C)C(=O)COC(C)(C)C,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,13,0.1269,4.6,2 - Secondary,alkyl,--,,,
MIDA-Pd-Suzuki,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)C(C)B1OC(=O)CN(C)CC(=O)O1,CC(C)C(C)c1cnc(nc1)N2CCN(C[C@H]2C)C(=O)COC(C)(C)C,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
CEC-Ni-Weix,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)C(C)Br,CC(C)C(C)c1cnc(nc1)N2CCN(C[C@H]2C)C(=O)COC(C)(C)C,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,30,0.3007,10.9,2 - Secondary,alkyl,--,,,
BF3K-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC([B-](F)(F)F)C(C)C.[K+],CC(C)C(C)c1ccc2nc3COCC(=O)c3n2c1,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,21,0.2067,6.7,2 - Secondary,alkyl,--,,,
CEC-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)C(C)Br,CC(C)C(C)c1ccc2nc3COCC(=O)c3n2c1,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,11,0.1132,3.8,2 - Secondary,alkyl,--,,,
COOH-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)C(C)C(=O)O,CC(C)C(C)c1ccc2nc3COCC(=O)c3n2c1,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
BF3K-Pd-Suzuki,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC([B-](F)(F)F)C(C)C.[K+],CC(C)C(C)c1ccc2nc3COCC(=O)c3n2c1,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,9,0.0852,2.2,2 - Secondary,alkyl,--,,,
MIDA-Pd-Suzuki,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)C(C)B1OC(=O)CN(C)CC(=O)O1,CC(C)C(C)c1ccc2nc3COCC(=O)c3n2c1,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,0,0,0,2 - Secondary,alkyl,--,,,
CEC-Ni-Weix,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)C(C)Br,CC(C)C(C)c1ccc2nc3COCC(=O)c3n2c1,[Core]C(C)C(C)C,[X]C(C)C(C)C,,,3,0.0252,0.65,2 - Secondary,alkyl,--,,,
BF3K-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,F[B-](F)(F)C(C)C1=CC=CC=C1.[K+],CC(C1=CC=CC=C1)C2=CC=CC(N3C=CC=N3)=C2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
CEC-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,CC(Br)c1ccccc1,CC(C1=CC=CC=C1)C2=CC=CC(N3C=CC=N3)=C2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,1,0.0062,0.2,2 - Secondary,aryl/heteroaryl,--,,,
COOH-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C(=O)O)c1ccccc1,CC(C1=CC=CC=C1)C2=CC=CC(N3C=CC=N3)=C2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
BF3K-Pd-Suzuki,BrC1=CC(N2N=CC=C2)=CC=C1,F[B-](F)(F)C(C)C1=CC=CC=C1.[K+],CC(C1=CC=CC=C1)C2=CC=CC(N3C=CC=N3)=C2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
CEC-Ni-Weix,BrC1=CC(N2N=CC=C2)=CC=C1,CC(Cl)c1ccccc1,CC(C1=CC=CC=C1)C2=CC=CC(N3C=CC=N3)=C2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
Negishi-Pd,BrC1=CC(N2N=CC=C2)=CC=C1,CC([Zn]Br)c1ccccc1,CC(C1=CC=CC=C1)C2=CC=CC(N3C=CC=N3)=C2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,97,0.97,21.56,2 - Secondary,aryl/heteroaryl,--,,,
CEC-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(Br)c1ccccc1,CC(c1ccccc1)c2ccc(CN3CCN(C)CC3)cc2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,TFA,1,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
BF3K-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,F[B-](F)(F)C(C)C1=CC=CC=C1.[K+],CC(c1ccccc1)c2ccc(CN3CCN(C)CC3)cc2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,TFA,1,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
COOH-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C(=O)O)c1ccccc1,CC(c1ccccc1)c2ccc(CN3CCN(C)CC3)cc2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
BF3K-Pd-Suzuki,CN1CCN(CC(C=C2)=CC=C2Br)CC1,F[B-](F)(F)C(C)C1=CC=CC=C1.[K+],CC(c1ccccc1)c2ccc(CN3CCN(C)CC3)cc2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
CEC-Ni-Weix,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(Cl)c1ccccc1,CC(c1ccccc1)c2ccc(CN3CCN(C)CC3)cc2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
Negishi-Pd,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC([Zn]Br)c1ccccc1,CC(c1ccccc1)c2ccc(CN3CCN(C)CC3)cc2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,TFA,1,55,0.5484,22.4,2 - Secondary,aryl/heteroaryl,--,,,
BF3K-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,F[B-](F)(F)C(C)C1=CC=CC=C1.[K+],CC(c1ccccc1)c2cnc(nc2)N3CCN(C[C@H]3C)C(=O)COC(C)(C)C,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
